Tabela 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CD_CLI;NR_CTR;VR_CTR;DT_CTR;NR_PARCELA;VR_PARCELA;CODIGO;RATING;MOTIVO;PRODUTO;nome;idade;cpf;rg;data_nasc;sexo;signo;mae;pai;email;senha;cep;endereco;numero;bairro;cidade;estado;telefone_fixo;celular;altura;peso;tipo_sanguineo;cor
;11;111;2680;2015-02-09;18;148.89;11;A;LIQUIDADO;EMPRESTIMO;Leonardo Edson Paulo Lopes;50;92823139052;311841983;02/09/1972 00:00;Masculino;Aquário;Regina Evelyn;Tomás Julio Lopes;leonardo_edson_lopes@apso.org.br;lrlHOyTJBM;93260040;Rua São Sebastião do Caí;811;Centro;Esteio;RS;5135023453;51987824642;1,72;109;O+;verde
;12;112;165;2015-02-09;72;106.83;12;A;LIQUIDADO OBITO;CONSIGNADO;Laura Vitória Pereira;78;55076219008;227896956;03/09/1944 00:00;Feminino;Peixes;Esther Camila Rosângela;Yago Thiago Pereira;lauravitoriapereira@hardquality.com.br;jGzIamz8M1;93490440;Estrada Villy Moelecke;720;Lomba Grande;Novo Hamburgo;RS;5139246558;51983237656;1,56;60;O+;vermelho
;13;113;6086;2015-02-09;60;101.43;13;B;LIQUIDADO;EMPRESTIMO;Henrique Marcos Vinicius Luís da Cruz;59;38630498021;462067877;03/02/1963 00:00;Masculino;Peixes;Sarah Isabelly;Manoel Carlos Eduardo Henry da Cruz;henrique-dacruz81@grupomegavale.com.br;oJESDRFYGr;90010281;Rua Duque de Caxias;351;Centro Histórico;Porto Alegre;RS;5139625539;51981109537;1,63;93;AB-;azul
;14;114;2950;2015-02-09;18;163.89;14;E;LUCROS E PERDAS;EMPRESTIMO;Silvana Raquel Santos;68;5036443071;502459694;02/07/1954 00:00;Feminino;Aquário;Luzia Cristiane Ester;Matheus Bruno Santos;silvana.raquel.santos@maptec.com.br;PFyDFDBJlD;90840340;Rua Nossa Senhora da Saúde;698;Teresópolis;Porto Alegre;RS;5128576222;51983452882;1,6;65;O-;roxo
;15;115;8158;2015-02-09;48;169.96;15;B;LIQUIDADO;EMPRESTIMO;Yago Cauã Augusto Pinto;30;99560445049;170094601;03/04/1992 00:00;Masculino;Peixes;Mariane Larissa Benedita;Fábio Jorge Nelson Pinto;yago-pinto77@brasfrutmanaus.com.br;xAWhKX9HRh;96214700;Avenida A;219;Cidade de Águeda;Rio Grande;RS;5336926419;53986909562;1,87;74;A-;vermelho
;16;116;7291;2015-02-09;72;101.26;16;A;LIQUIDADO;CONSIGNADO;Hadassa Liz Esther Porto;45;66989552050;302609672;01/07/1977 00:00;Feminino;Capricórnio;Joana Josefa;Theo Cauã Marcos Vinicius Porto;hadassalizporto@delboux.com.br;bRb2xr0dTx;95110514;Rua Nilo Lourenço Benetti;101;Desvio Rizzo;Caxias do Sul;RS;5428013905;54982798775;1,68;74;O+;verde
;17;117;8856;2015-02-09;96;92.25;17;A;ATIVO;CONSIGNADO;Valentina Kamilly Débora Aragão;40;82369277092;279113298;02/09/1982 00:00;Feminino;Aquário;Ester Silvana;Geraldo Vitor Sebastião Aragão;valentina-aragao79@iclaud.com;tnMGEHa4Ty;96422440;Rua Cassimiro de Abreu;340;Comandante Gustavo Kramer;Bagé;RS;5329645762;53993917709;1,5;49;B+;vermelho
;18;118;977;2015-02-09;15;65.13;18;A;LIQUIDADO;EMPRESTIMO;Enzo Davi da Rosa;32;74278291078;489058954;03/02/1990 00:00;Masculino;Peixes;Betina Alessandra;Miguel Pietro da Rosa;enzo-darosa78@iaru.com;UZ84U3xFWA;94020070;Rua João Dutra;196;Salgado Filho;Gravataí;RS;5137947953;51998650899;1,73;63;AB-;azul
;19;119;7400;2015-02-09;72;102.78;19;A;LIQUIDADO PORTABILIDADE;CONSIGNADO;Severino Luan Dias;76;80119923092;261192644;03/09/1946 00:00;Masculino;Peixes;Rayssa Isabel;João Thomas Felipe Dias;severino_dias@mtic.net.br;ihld6sttz4;96840591;Rua Oito;542;Faxinal Menino Deus;Santa Cruz do Sul;RS;5135528840;51992113504;1,79;52;A-;vermelho
;20;120;7803;2015-02-09;72;108.38;20;A;LIQUIDADO;CONSIGNADO;Geraldo Bryan Oliveira;48;58647439090;421248063;01/11/1974 00:00;Masculino;Capricórnio;Eliane Andreia;Manuel Ricardo Oliveira;geraldo-oliveira89@doublemoore.com;0il6Utt2lW;99020367;Rua Antônio Lângaro;616;Vila Victor Issler;Passo Fundo;RS;5435122177;54982347324;1,6;85;AB-;preto
;21;121;3135;2015-02-09;24;130.63;21;A;LIQUIDADO;EMPRESTIMO;Eduardo Augusto Ruan da Cunha;54;42419373065;433011336;03/10/1968 00:00;Masculino;Peixes;Pietra Laís;Julio Mário da Cunha;eduardo.augusto.dacunha@rizan.com.br;lgcLUuTw9x;94515300;Rua São Salvador;982;Vila Augusta;Viamão;RS;5135134518;51982459210;1,75;70;AB-;azul
;22;122;8833;2015-02-09;96;92.01;22;A;ATIVO;CONSIGNADO;Tomás Vinicius Alves;76;45845918065;385380379;03/06/1946 00:00;Masculino;Peixes;Ayla Maria;Alexandre Mário Renato Alves;tomas_vinicius_alves@muricy.com;qP7Z6ebZBQ;90040050;Viaduto Imperatriz Leopoldina;141;Cidade Baixa;Porto Alegre;RS;5135283215;51985208191;1,87;89;O-;azul
;23;123;4831;2015-02-09;24;201.29;23;A;LIQUIDADO;EMPRESTIMO;Bianca Cecília Baptista;38;53508900002;359605746;02/12/1984 00:00;Feminino;Aquário;Lara Isis Benedita;Thales Tomás Baptista;bianca_cecilia_baptista@megasurgical.com.br;SRSm4QLdnr;97504362;Quadra C;755;Tabajara Brites;Uruguaiana;RS;5538369366;55981529880;1,65;64;AB+;amarelo
;24;124;8395;2015-02-09;60;139.92;24;E;LUCROS E PERDAS;EMPRESTIMO;Agatha Alessandra Yasmin Gonçalves;19;79577545033;447711441;01/05/2003 00:00;Feminino;Capricórnio;Mirella Yasmin Nair;Diego André Gonçalves;agathaalessandragoncalves@mastria.com.br;L8mGzYOjY0;96822550;Rua Doutor Leopoldo Morsch;586;Linha Santa Cruz;Santa Cruz do Sul;RS;5138512716;51981354134;1,77;83;AB-;roxo
;25;125;2495;2015-02-09;12;207.92;25;A;LIQUIDADO;EMPRESTIMO;Roberto Iago Pires;35;1044682035;260552598;01/10/1987 00:00;Masculino;Capricórnio;Sophia Heloisa Adriana;Augusto André Pires;robertoiagopires@amplisat.com.br;XSsorw5s59;96206450;Rua Maestro Schmutz;445;Cassino;Rio Grande;RS;5339666819;53988971438;2;109;O-;amarelo
;26;126;6303;2015-02-09;48;131.31;26;B;LIQUIDADO;EMPRESTIMO;Rayssa Maitê Ferreira;42;68168295064;479484004;03/07/1980 00:00;Feminino;Peixes;Nair Carolina;Hugo Mário Ferreira;rayssamaiteferreira@vanguarda.tv;eeBLZ7kFzs;98700970;Rua Ernesto Alves 151;760;Centro;Ijuí;RS;5527117377;55993098127;1,62;47;AB-;vermelho
;27;127;4011;2015-02-09;36;111.42;27;A;LIQUIDADO;EMPRESTIMO;Kaique Enrico Henrique Monteiro;65;1789459001;145956404;03/09/1957 00:00;Masculino;Peixes;Andrea Antonella Daniela;Caleb Antonio Monteiro;kaiqueenricomonteiro@rafaelmarin.net;lxJ03ue76M;96415120;Rua Fernando Ferrari;486;Estrela D'Alva;Bagé;RS;5329131638;53991338877;1,74;78;B-;amarelo
;28;128;5864;2015-02-09;36;162.89;28;A;LIQUIDADO;EMPRESTIMO;Joaquim Miguel Mendes;44;4096973033;209401151;03/06/1978 00:00;Masculino;Peixes;Camila Amanda Aparecida;Victor Thomas Vinicius Mendes;joaquim.miguel.mendes@integrasjc.com.br;bffoubwu20;95840970;Rua Marechal Deodoro 66 Sala 101;521;Centro;Triunfo;RS;5127064209;51993319044;1,73;92;AB+;preto
;29;129;2562;2015-02-09;12;213.50;29;B;LIQUIDADO;EMPRESTIMO;Laís Elisa da Mota;41;85363150085;197998793;03/01/1981 00:00;Feminino;Peixes;Flávia Clarice;Ryan Jorge Manuel da Mota;lais_elisa_damota@disparco.com.br;9HYXWLOOuj;96506635;Rua Moacyr da Cunha Roesing;472;Barcelos;Cachoeira do Sul;RS;5136554541;51985952031;1,78;89;B-;preto
;30;130;8233;2015-02-09;48;171.52;30;A;LIQUIDADO;EMPRESTIMO;Rafael Heitor da Conceição;40;94883629015;495636423;02/09/1982 00:00;Masculino;Aquário;Gabrielly Gabrielly;Caio Pedro Henrique da Conceição;rafael-daconceicao78@fiorecomunicacao.com.br;L45h2eLz9A;94940140;Rua Jacui;723;Vila Princesa Izabel;Cachoeirinha;RS;5129853535;51988943426;1,91;67;O-;amarelo
;31;131;9764;2015-02-09;36;271.22;31;A;LIQUIDADO;EMPRESTIMO;Luna Patrícia Lara Assis;63;59501301036;353746344;02/04/1959 00:00;Feminino;Aquário;Brenda Louise;José Miguel Assis;luna_assis@macroengenharia.com;AZtsCHWkC2;91510600;Rua M;656;Vila João Pessoa;Porto Alegre;RS;5126796677;51989477445;1,85;68;AB-;azul
;32;132;7139;2015-02-09;36;198.31;32;A;LIQUIDADO;EMPRESTIMO;Giovanna Josefa da Cunha;69;4812425034;500422497;03/04/1953 00:00;Feminino;Peixes;Josefa Marli Alana;André Diogo da Cunha;giovanna-dacunha79@akaer.com.br;7inKgqamFP;94824150;Rua São Borja;868;Sumaré;Alvorada;RS;5127715881;51992760133;1,64;82;A+;amarelo
;33;133;7066;2015-02-09;36;196.28;33;A;LIQUIDADO;EMPRESTIMO;Daniel Geraldo Cavalcanti;31;2376989000;260387757;03/04/1991 00:00;Masculino;Peixes;Natália Simone;Breno Vinicius Caio Cavalcanti;daniel_cavalcanti@me.com.br;Shag6cS9pl;97015010;Rua Doutor Alberto Pasqualini;250;Centro;Santa Maria;RS;5535670526;55993144443;1,62;104;AB+;laranja
;34;134;3132;2015-02-09;24;130.50;34;A;LIQUIDADO;EMPRESTIMO;Levi Miguel Fernando Figueiredo;31;93123780074;254376381;03/01/1991 00:00;Masculino;Peixes;Elisa Valentina;Kevin João André Figueiredo;levimiguelfigueiredo@enox.com.br;BR0NpQ1ko8;98035010;Rua Manoel Rodrigues Teixeira;409;Pedro Bonini;Cruz Alta;RS;5526636315;55986755129;1,62;102;AB-;preto
;35;135;4567;2015-02-09;24;190.29;35;B;LIQUIDADO;EMPRESTIMO;Luciana Joana Souza;25;82680341066;398912038;01/06/1997 00:00;Feminino;Capricórnio;Maya Amanda;Caio Kevin Augusto Souza;lucianajoanasouza@bol.com.br;41BCj4OZI3;94035270;Rua Antônio Donga;121;Centro;Gravataí;RS;5126301969;51992411702;1,79;52;AB-;azul
;36;136;5154;2015-02-09;36;143.17;36;B;LIQUIDADO;EMPRESTIMO;Renan Kaique Barros;38;52744163066;321751917;02/05/1984 00:00;Masculino;Aquário;Analu Louise;Daniel Theo Barros;renan_kaique_barros@catsfeelings.com.br;25TLdeYDrJ;90830170;Rua Encruzilhada do Sul;972;Nonoai;Porto Alegre;RS;5129521928;51984435550;1,73;66;A-;verde
;37;137;6552;2015-02-09;24;273.00;37;A;LIQUIDADO;EMPRESTIMO;Giovanni Elias Dias;69;47524018002;494151171;03/08/1953 00:00;Masculino;Peixes;Isis Allana Emily;Anderson Anderson Geraldo Dias;giovanni_elias_dias@azulcargo.com.br;JEG8CgFgQo;97032010;Rua Ademar Penna;446;Tancredo Neves;Santa Maria;RS;5538310826;55985636097;1,65;55;O-;amarelo
;38;138;878;2015-02-09;15;58.53;38;A;LIQUIDADO;EMPRESTIMO;Cauã Nicolas Brito;65;29697366080;184733923;01/02/1957 00:00;Masculino;Capricórnio;Manuela Manuela Eduarda;Martin Manuel Brito;caua_nicolas_brito@companyvivo.com.br;7y1zBTNST3;96170976;Distrito Santa Isabel, s/n;656;Santa Isabel;São Lourenço do Sul;RS;5336388158;53986250254;1,63;50;O-;verde
;39;139;3447;2015-02-09;36;95.75;39;B;LIQUIDADO;EMPRESTIMO;Vitória Laura Carolina da Paz;66;6939212000;206216221;02/10/1956 00:00;Feminino;Aquário;Marcela Regina Isabel;Miguel José José da Paz;vitorialauradapaz@cafefrossard.com;4qJq7wSCaP;93295770;Acesso Particular;386;Parque Primavera;Esteio;RS;5127106316;51984231533;1,6;60;AB+;laranja
;40;140;5553;2015-02-09;42;132.21;40;A;LIQUIDADO;EMPRESTIMO;Alana Aparecida Heloise Rezende;24;99093337084;501857837;03/06/1998 00:00;Feminino;Peixes;Tânia Manuela;Danilo Martin Lorenzo Rezende;alana_rezende@dpi.ig.br;mACsAOf7Ll;96040680;Rua Evaristo da Veiga;269;Fragata;Pelotas;RS;5339378165;53988883470;1,6;53;B+;vermelho
;41;141;1243;2015-02-09;24;51.79;41;A;LIQUIDADO;EMPRESTIMO;Nina Aline Analu Barbosa;40;25675834087;305494016;02/04/1982 00:00;Feminino;Aquário;Sueli Regina Renata;Guilherme Francisco Barbosa;nina.aline.barbosa@inpa.gov.br;H4fdZD2nlf;94430265;Rodovia Coronel Acrísio Martins Prates;898;Sitio São José;Viamão;RS;5126770936;51982861709;1,81;60;AB-;verde
;42;142;1114;2015-02-09;24;46.42;42;A;LIQUIDADO;EMPRESTIMO;Emilly Fabiana da Mata;57;29754664048;305196297;03/09/1965 00:00;Feminino;Peixes;Evelyn Larissa;Roberto Danilo Giovanni da Mata;emilly_damata@ogn.com.br;kX2N2Y1KYn;97032080;Rua Carlos Oscar Schuck;1000;Tancredo Neves;Santa Maria;RS;5527406845;55999638737;1,5;83;B+;verde
;43;143;8321;2015-02-09;24;346.71;43;A;LIQUIDADO;EMPRESTIMO;Geraldo Oliver Rodrigues;66;43081218098;310931496;02/11/1956 00:00;Masculino;Aquário;Adriana Nicole;Caio Kevin Rodrigues;geraldo.oliver.rodrigues@mls.com.br;Jzy6W4EuNG;91420616;Beco Seis;895;Bom Jesus;Porto Alegre;RS;5135013500;51985605703;1,92;74;O+;verde
;44;144;5347;2015-02-09;36;148.53;44;A;LIQUIDADO;EMPRESTIMO;Yago Edson Gustavo Lopes;45;19382982094;222235032;02/09/1977 00:00;Masculino;Aquário;Nicole Isabella Sophia;Calebe Tomás Luís Lopes;yago.edson.lopes@jcffactoring.com.br;GR6ikJDrDa;91790852;Acesso F Um;442;Restinga;Porto Alegre;RS;5129075035;51994673175;1,83;50;B-;roxo
;45;145;5787;2015-02-09;60;96.45;45;B;LIQUIDADO;EMPRESTIMO;Severino Mateus das Neves;34;53823287060;491728074;01/08/1988 00:00;Masculino;Capricórnio;Stella Nair Olivia;Thales Kevin das Neves;severino-dasneves77@modus.com.br;9XYPUiD435;94425320;Rua D;551;Estalagem;Viamão;RS;5136255804;51991874861;1,65;94;A+;azul
;46;146;1599;2015-02-09;15;106.60;46;A;LIQUIDADO;EMPRESTIMO;Roberto Jorge Hugo Silva;25;28027929032;505005141;03/01/1997 00:00;Masculino;Peixes;Heloise Fernanda Luzia;Pietro Arthur Levi Silva;roberto_silva@vinax.com.br;ub72ZcYnSd;99042380;Rua Edvino Leonhardt;670;José Alexandre Zachia;Passo Fundo;RS;5427923257;54987233748;2;109;A-;roxo
;47;147;9102;2015-02-09;60;151.70;47;A;LIQUIDADO;EMPRESTIMO;Mariah Aline Letícia Duarte;61;96985051057;250965963;02/12/1961 00:00;Feminino;Aquário;Milena Olivia Isabela;Joaquim Heitor Duarte;mariahalineduarte@dgh.com.br;dNEJlKuj1p;96410180;Rua Rosa Almeida;582;União;Bagé;RS;5336871232;53991367701;1,55;79;O-;preto
;48;148;4169;2015-02-09;36;115.81;48;A;LIQUIDADO;EMPRESTIMO;Ana Teresinha Rodrigues;18;24999183064;110017742;01/04/2004 00:00;Feminino;Capricórnio;Tatiane Andrea Olivia;Vinicius Juan Rodrigues;anateresinharodrigues@cernizza.com.br;pEupGucTKZ;94828110;Rua Braz Cubas;496;Maria Regina;Alvorada;RS;5125577602;51994549627;1,8;90;A-;laranja
;49;149;6851;2015-02-09;36;190.31;49;B;LIQUIDADO;EMPRESTIMO;Felipe Gael Alexandre da Costa;40;94043349017;349260011;03/02/1982 00:00;Masculino;Peixes;Juliana Josefa;Felipe Vicente Raimundo da Costa;felipe.gael.dacosta@akaer.com.br;XzZsbTsazx;93295380;Rua Osvaldo Jesus Vieira;503;Parque Primavera;Esteio;RS;5128564224;51991309509;1,92;99;B+;azul
;50;150;632;2015-02-09;12;52.67;50;A;LIQUIDADO;EMPRESTIMO;Isaac Nelson Kevin Gonçalves;38;39520751084;461287857;01/07/1984 00:00;Masculino;Capricórnio;Mariane Sebastiana;Sérgio Roberto Gonçalves;isaac-goncalves81@unifesp.br;4uE7nLt8IT;90550003;Avenida Benjamin Constant;748;São João;Porto Alegre;RS;5128742592;51984668532;1,98;78;AB-;vermelho
;51;151;8232;2015-02-09;48;171.50;51;A;LIQUIDADO;EMPRESTIMO;Giovanna Liz Elisa Silveira;22;37574880085;229575262;03/10/2000 00:00;Feminino;Peixes;Kamilly Alice;Calebe Elias José Silveira;giovanna_liz_silveira@coraza.com.br;wYy0quX9e5;91270472;Acesso D;117;Mário Quintana;Porto Alegre;RS;5128607490;51994069375;1,73;64;AB-;amarelo
;52;152;9117;2015-02-09;60;151.95;52;E;PENHORA;EMPRESTIMO;Nelson Leandro Gabriel Nunes;75;22462959041;265457087;03/10/1947 00:00;Masculino;Peixes;Lúcia Isadora Elisa;Luiz Juan Nunes;nelson_nunes@chavao.com.br;FYAAyhrDwK;91750320;Rua Enfermeiro Ventura;621;Vila Nova;Porto Alegre;RS;5136692053;51986344778;1,86;70;B+;azul
;53;153;9770;2015-02-09;36;271.39;53;B;LIQUIDADO;EMPRESTIMO;Felipe Vicente Jorge Pinto;47;58457119087;293507776;03/10/1975 00:00;Masculino;Peixes;Ana Pietra Alice;Calebe Ruan Pinto;felipe_pinto@dominatto.ind.br;oJAbmWNJPm;96506294;Beco Quatro;875;Santo Antônio;Cachoeira do Sul;RS;5126549863;51982865889;1,73;87;O+;amarelo
;54;154;6165;2015-02-09;48;128.44;54;B;LIQUIDADO;EMPRESTIMO;Henrique Leandro Luís Moraes;44;28749006053;431944313;01/12/1978 00:00;Masculino;Capricórnio;Kamilly Yasmin;Cauê Roberto Renato Moraes;henrique_moraes@biconsult.com.br;QjbqYmHnc4;96055790;Rua Professor Paulo Marcant Gonçalves;457;Três Vendas;Pelotas;RS;5329596648;53997712744;1,66;81;A-;vermelho
;55;155;9265;2015-02-09;60;154.42;55;A;LIQUIDADO;EMPRESTIMO;Carolina Emily Antônia Ribeiro;54;11537754092;100019778;03/06/1968 00:00;Feminino;Peixes;Aparecida Rita Isabelly;Otávio Diego Ribeiro;carolinaemilyribeiro@sabereler.com.br;qamQbmPmuu;94475638;Beco Condor;595;Santa Cecília;Viamão;RS;5129340532;51985393826;1,55;85;AB+;laranja
;56;156;9155;2015-02-09;60;152.58;56;C;LIQUIDADO;EMPRESTIMO;Gabrielly Manuela da Paz;26;62398168093;278107515;02/10/1996 00:00;Feminino;Aquário;Laura Amanda;Gustavo Caio Arthur da Paz;gabrielly-dapaz81@qmagico.com.br;XQYfqMPYcm;90039900;Rua Voluntários da Pátria 595;925;Centro Histórico;Porto Alegre;RS;5136360683;51987869950;1,65;49;A+;preto
;57;157;3571;2015-02-09;36;99.19;57;A;LIQUIDADO;EMPRESTIMO;Laís Emanuelly da Rosa;38;93215662019;348185959;02/01/1984 00:00;Feminino;Aquário;Flávia Lúcia;Luiz Bento da Rosa;lais.emanuelly.darosa@fcfar.unesp.br;0mQJNFuMaD;96201020;Avenida Honório Bicalho;689;Getúlio Vargas;Rio Grande;RS;5325901436;53987833008;1,71;81;A+;amarelo
;58;158;5758;2015-02-09;60;95.97;58;C;LIQUIDADO;EMPRESTIMO;César Vinicius Sebastião Almada;47;45586983052;238333255;03/07/1975 00:00;Masculino;Peixes;Camila Heloisa;José Theo Almada;cesarviniciusalmada@rj.net;ATiGoYaE98;94463240;Rua Primeiro-Sargento Euclides Barrachini;217;Sítios;Viamão;RS;5125103930;51983000528;1,69;76;O+;vermelho
;59;159;7242;2015-02-09;36;201.17;59;A;LIQUIDADO;EMPRESTIMO;Kaique Roberto Baptista;58;19653753088;348459701;01/02/1964 00:00;Masculino;Capricórnio;Rayssa Kamilly;Filipe Cláudio Sérgio Baptista;kaique-baptista95@bb.com.br;G91ukrsuoW;93040460;Rua Manoel Apolinário;397;Rio Branco;São Leopoldo;RS;5135231223;51985467720;1,74;69;O+;vermelho
;60;160;2772;2015-02-09;18;154.00;60;A;LIQUIDADO;EMPRESTIMO;Marcos Vinicius Anthony Araújo;75;82477088092;188474705;01/06/1947 00:00;Masculino;Capricórnio;Sueli Flávia;César Cauê Araújo;marcos.vinicius.araujo@l3ambiental.com.br;uZQpnHIfam;94818470;Rua Martinho Lutero;574;Formoza;Alvorada;RS;5128312061;51986440527;1,65;60;A+;amarelo
;61;161;4682;2015-02-09;24;195.08;61;A;LIQUIDADO;EMPRESTIMO;Benedito Benedito Lopes;73;87004046087;379227344;03/05/1949 00:00;Masculino;Peixes;Andreia Evelyn;Leonardo Enrico Marcelo Lopes;benedito_benedito_lopes@athoscontabil.com.br;aMUS3PCt9C;96840410;Corredor Araújo;853;Ana Nery;Santa Cruz do Sul;RS;5136618984;51989139240;1,91;59;A-;azul
;62;162;8578;2015-02-09;80;107.23;62;A;LIQUIDADO;CONSIGNADO;Clara Manuela Tânia Viana;58;84954038030;481659456;03/01/1964 00:00;Feminino;Peixes;Nair Maria Márcia;Anderson Kevin Viana;clara-viana94@ulbra.edu.br;TXB7SL4Hl3;99066180;Rua Roselândia;916;Roselândia;Passo Fundo;RS;5427990783;54987134162;1,57;78;A+;vermelho
;63;163;3106;2015-02-09;18;172.56;63;A;LIQUIDADO;EMPRESTIMO;Anderson Felipe Monteiro;26;35854913089;226255153;01/03/1996 00:00;Masculino;Capricórnio;Stefany Emilly;Martin Danilo João Monteiro;anderson_felipe_monteiro@sfranconsultoria.com.br;ACYIUBoole;96215842;Rodovia BR-392;136;Parque Marinha;Rio Grande;RS;5335360328;53989439590;1,63;78;B+;roxo
